cid1,cid2,tabsAgreement,rmsd,tfd
13,1,0,1.8743292527857134,0.15143962911811226
13,2,0,2.8751338919245537,0.15005237179693198
13,3,0,2.611970994262672,0.19021841645289417
13,4,0,1.6625138057744009,0.13793825660127282
13,5,1,0.13983175885388976,0.13646776796012672
13,6,0,1.147342372473529,0.19243113952265067
13,7,0,1.6961533430244993,0.051776555389361274
13,8,0,2.857674989718631,0.30402840255352676
13,9,0,2.403587926750637,0.2747980234538611
13,10,0,2.2400072855929074,0.2868923122516963
13,11,0,2.4738226814593336,0.20112391227539678
13,12,0,2.6039605246038247,0.15092664172363196
14,0,0,2.993822746745106,0.2565394390493114
14,1,0,2.1029728500527303,0.2709059848806626
14,2,0,2.8873105180036633,0.18766372455771066
14,3,0,2.912321732015985,0.1569565652127496
14,4,0,1.3355395473854152,0.19972413747778983
14,5,0,1.1821294181504711,0.27272573927461585
14,6,0,0.4976621269062537,0.2693826397003273
14,7,0,1.326346139105219,0.06008918783642939
14,8,0,3.040820888056895,0.2741476144557676
14,9,0,2.151745679494082,0.1937979289457922
14,10,0,2.2945324294179392,0.08123326236733648
14,11,0,2.208930528283348,0.05017044074444772
14,12,0,2.744057793687869,0.06150781867659085
14,13,0,1.1326057378245395,0.07523190149321848
15,0,0,3.018267388005537,0.16683837030605111
15,1,1,0.1368503709813993,0.015741096728047535
15,2,0,2.1009790826207038,0.3378988670217023
15,3,0,2.61649663901632,0.302134319721188
15,4,0,2.433079029659593,0.25848351399772934
15,5,0,1.839007010108321,0.05215710190034029
15,6,0,1.9627388151112106,0.0680418361995108
15,7,0,2.3817700522617127,0.0018140811854108815
15,8,0,3.0800582585332275,0.07165078741060577
15,9,0,1.2368888198635912,0.3363993786963225
15,10,0,2.2062876036718535,0.282690720490592
15,11,0,2.0178301317687835,0.13792884599476937
15,12,0,2.5054636904862164,0.2800041082917189
15,13,0,1.8356568212823219,0.027301944394312907
15,14,0,2.1083251627128536,0.05610985929290288
16,0,0,2.9793123120504643,0.32490641408407817
16,1,0,2.0863524137811424,0.26866943301049323
16,2,0,2.849628450986176,0.03229922529972462
16,3,0,2.9313077439024844,0.31930515435870166
16,4,0,1.3702720352127038,0.19722151774890498
16,5,0,1.2226575961664032,0.06640684356006925
16,6,0,0.576795147606699,0.1511177250264213
16,7,0,1.3747132163198974,0.298601676078476
16,8,0,3.0346138314805855,0.0821756441151133
16,9,0,2.1048018090219305,0.28366208389948705
16,10,0,2.302969968981564,0.19054081279202342
16,11,0,2.18567594331258,0.007819984231373528
16,12,0,2.665954484091518,0.31107244373798865
16,13,0,1.1634028715391285,0.2570538663712786
16,14,1,0.18767324941558508,0.1802238275628869
16,15,0,2.091359789920144,0.06907640033339507
17,0,0,3.2429313714473147,0.19135817023792814
17,1,0,2.2326710933411946,0.20224151424519277
17,2,0,2.2713680394994094,0.019158679403862774
17,3,0,2.5810020985230024,0.19212422809779214
17,4,0,1.9070470341111603,0.06029857268290676
17,5,0,2.229078083960017,0.06838100160030776
17,6,0,2.099376708262063,0.15266817487580595
17,7,0,1.8331575890481249,0.3227008267446846
17,8,0,3.3269923478477335,0.1237553717875447
17,9,0,2.3032355278269336,0.3235151691758928
17,10,0,0.5045028576219472,0.12508990352290578
17,11,0,1.764820348965927,0.19246649600714638
17,12,0,2.552871469541119,0.17852737054348333
17,13,0,2.2222876210139346,0.2045226639308851
17,14,0,2.2162493379706243,0.15184666231537522
17,15,0,2.2206871591445525,0.015833939178230078
17,16,0,2.21205671638678,0.3256092158048493
18,0,0,2.56594842008456,0.18977079256292825
18,1,0,2.2995307866493966,0.3185875381202987
18,2,0,0.9856111631131478,0.25785163103536507
18,3,0,2.594754305852466,0.19241851185227052
18,4,0,2.6481181809415406,0.13944441482942962
18,5,0,2.456107102637093,0.19214329009191086
18,6,0,2.62960129784685,0.1531675012197412
18,7,0,2.6850861976553233,0.0651934731587973
18,8,0,2.511050071772973,0.27031226022353666
18,9,0,2.2875052766975013,0.2702647683814441
18,10,0,2.313471943638418,0.0598441754113926
18,11,0,2.1747855755096785,0.3236349416699948
18,12,0,1.0987680564900488,0.31344744081266473
18,13,0,2.4411273250336065,0.16728780091469425
18,14,0,2.548046315039728,0.18501049868284378
18,15,0,2.302085465056752,0.3140565075879729
18,16,0,2.498292565662013,0.04826639795590413
18,17,0,2.0525549246414667,0.1964060580304544
19,0,0,2.3070383547917626,0.01832799964520655
19,1,0,2.056889204679863,0.20628475122411727
19,2,0,2.4621081484341296,0.29796190451238636
19,3,0,1.8119233405646873,0.28453332020346517
19,4,0,2.810969118054216,0.1644235684304274
19,5,0,2.3589152253317223,0.07243051437214765
19,6,0,2.437730641057098,0.25810107628280354
19,7,0,2.812835387755872,0.2597799031361601
19,8,0,2.347271304690974,0.30040899199754206
19,9,0,2.1831634018436765,0.2730449817004503
19,10,0,2.768867966954257,0.2745547674512728
19,11,0,2.609959650442015,0.3021572298922201
19,12,0,2.6960066712215434,0.19049903700023862
19,13,0,2.3575661204601164,0.1797137862625886
19,14,0,2.51391899952078,0.1640878655189711
19,15,0,2.0331078050247804,0.12330410443789262
19,16,0,2.4971442758755225,0.30998954276099844
19,17,0,2.8258814916178308,0.017597452569350792
19,18,0,2.7349445605361566,0.15379964997972279
20,0,0,2.586938080434836,0.14008835075881484
20,1,0,2.2168375657766872,0.08431513791292412
20,2,0,0.8773682345661035,0.01763322990590431
20,3,0,2.5703418279480785,0.3087270633089396
20,4,0,2.695066773117816,0.13828787985724164
20,5,0,2.493248162879236,0.13986828747917324
20,6,0,2.6517656979764137,0.19826813539622204
20,7,0,2.7296122625530113,0.1613943632502565
20,8,0,2.5351270737895435,0.3125127902929494
20,9,0,2.194981625032056,0.3105949374538886
20,10,0,2.293712761753836,0.3236147514235163
20,11,0,2.1033174018899214,0.30699321257778533
20,12,0,1.0712042476342067,0.13649759848641269
20,13,0,2.4762388864137166,0.28916132014142093
20,14,0,2.5808128127599055,0.06452962696759007
20,15,0,2.225810522848212,0.05791682797051667
20,16,0,2.526872608277454,0.026633261209011303
20,17,0,2.0493676591034764,0.3132260404238461
20,18,1,0.17006122259500323,0.32941235122968
20,19,0,2.6855213643580225,0.27427016848109975
21,0,0,3.070490219055787,0.3330343213063526
21,1,0,1.2705997232655837,0.07071958547096135
21,2,0,2.0628622161480674,0.02136725151267003
21,3,0,2.82979340070749,0.13709693497488193
21,4,0,2.3301008993407817,0.019430830491968646
21,5,0,2.285166847535149,0.30050083474775396
21,6,0,1.8942579885482127,0.3212520330487124
21,7,0,2.2562085167624972,0.05328158862528373
21,8,0,3.099039870637566,0.007428194512835627
21,9,0,0.6291323119092961,0.2716149660721625
21,10,0,2.345496308932243,0.0766502101025929
21,11,0,1.8882868513721176,0.16388580396979915
21,12,0,1.8831252998911558,0.3392411716549505
21,13,0,2.2362359946230597,0.15179818559750516
21,14,0,1.9486286541934226,0.055250906324537045
21,15,0,1.3224938807208653,0.32494248997395986
21,16,0,1.845633848212957,0.05196279781474571
21,17,0,2.2786546412673214,0.18756561371192693
21,18,0,2.1021128507317197,0.2806668353326608
21,19,0,2.159283031876975,0.03899900125164974
21,20,0,2.0276548535727046,0.017099766329006227
22,0,0,2.7916122878761236,0.2015722069909119
